,venue
1985,quantum communication and quantum networking
1986,Catena
1987,Journal of Digital Forensic Practice
1988,Regular & Chaotic Dynamics
1989,Data Science and Engineering
1990,Acoustical Science and Technology
1991,motion in games
1992,international conference on computer vision theory and applications
1993,International Journal of Software and Informatics
1994,cooperative information agents
1995,Metrology and Measurement Systems
1996,iberian conference on pattern recognition and image analysis
1997,Bioimaging
1998,international conference on image analysis and recognition
1999,international zurich seminar on digital communications
2000,Journal of Applied Social Psychology
2001,electronic commerce
2002,european conference on information retrieval
2003,Revista Iberoamericana De Tecnologías Del Aprendizaje
2004,Transactions on Machine Learning and Data Mining
2005,Computing in Science and Engineering
2006,european public key infrastructure workshop
2007,Journal of Internet and Enterprise Management
2008,ACIMED
2009,IEEE Transactions on Software Engineering
2010,IEEE Transactions on Cognitive Communications and Networking
2011,Asian Journal of Control
2012,International Journal of Emerging Electric Power Systems
2013,model based methodologies for pervasive and embedded software
2014,Journal of Materials Chemistry
2015,Journal of Noncommutative Geometry
2016,Inverse Problems
2017,field programmable custom computing machines
2018,arXiv: Group Theory
2019,arXiv: General Physics
2020,geometric modeling and processing
2021,"Science, Technology, & Human Values"
2022,IEEE Computer Society
2023,IEEE Journal on Emerging and Selected Topics in Circuits and Systems
2024,Pattern Analysis and Applications
2025,Foundations and Trends in Information Retrieval
2026,International Journal of Computers and Their Applications
2027,Journal of Banking and Finance
2028,The Computer Journal
2029,Synthesis Lectures on Data Management
2030,International Journal of Advances in Engineering Sciences and Applied Mathematics
2031,IEEE Transactions on Speech and Audio Processing
2032,Journal of Trace Elements in Medicine and Biology
2033,computational intelligence in robotics and automation
2034,annual software engineering workshop
2035,International Journal of Healthcare Information Systems and Informatics
2036,Intelligent Information Management
2037,intelligent information systems
2038,computer aided verification
2039,international conference on functional programming
2040,IEEE Annals of the History of Computing
2041,Ricerche Di Matematica
2042,international conference on wireless networks
2043,Dynamics and Control
2044,IEEE Transactions on Electromagnetic Compatibility
2045,data warehousing and olap
2046,Isa Transactions
2047,Iete Technical Review
2048,"Nanomedicine: Nanotechnology, Biology and Medicine"
2049,International Journal of Computational Geometry and Applications
2050,Transactions of The Japan Society for Aeronautical and Space Sciences
2051,Molecular BioSystems
2052,Ipsj Digital Courier
2053,Mathematische Annalen
2054,Network: Computation In Neural Systems
2055,worst case execution time analysis
2056,multi agent systems and agent based simulation
2057,Iet Signal Processing
2058,arXiv: Rings and Algebras
2059,IEEE Transactions on Neural Networks
2060,Nuclear Instruments & Methods in Physics Research Section A-accelerators Spectrometers Detectors and Associated Equipment
2061,algebraic methodology and software technology
2062,Focus on Powder Coatings
2063,International Journal of E-politics
2064,Structural and Multidisciplinary Optimization
2065,intelligent human computer interaction
2066,Evodevo
2067,Knowledge Based Systems
2068,international conference on neural information processing
2069,"knowledge science, engineering and management"
2070,"wireless communications, networking and information security"
2071,automated software engineering
2072,algorithmic approaches for transportation modeling optimization and systems
2073,Journal of Integrative Bioinformatics
2074,Forensic Linguistics-the International Journal of Speech Language and The Law
2075,Frontiers of Physics in China
2076,"international conference on informatics in control, automation and robotics"
2077,advances in new technologies interactive interfaces and communicability
2078,workshop on applications of signal processing to audio and acoustics
2079,Methods of Information in Medicine
2080,international conference on coordination models and languages
2081,Journal of Information Technology Research
2082,Annals of Gis \/ Geographic Information Sciences
2083,International Journal of E-adoption
2084,Iet Microwaves Antennas & Propagation
2085,mobile adhoc and sensor systems
2086,software engineering and knowledge engineering
2087,arXiv: Tissues and Organs
2088,Advances in Applied Mathematics and Mechanics
2089,hawaii international conference on system sciences
2090,Bulletin of The Belgian Mathematical Society-simon Stevin
2091,Journal of Mathematical Cryptology
2092,international conference on multimedia and expo
2093,Transactions in Gis
2094,Ussr Computational Mathematics and Mathematical Physics
2095,consumer communications and networking conference
2096,IEEE Transactions on Vehicular Technology
2097,Language and Linguistics Compass
2098,human-robot personal relationships
2099,distributed computing in sensor systems
2100,ACM Sigweb Newsletter
2101,Microscopy Research and Technique
2102,"IEEE Transactions on Components, Packaging, and Manufacturing Technology: Part B"
2103,Seminars in Cell & Developmental Biology
2104,arXiv: History and Overview
2105,human language technology
2106,Mathematical Modelling of Natural Phenomena
2107,Journal of Computational Geometry
2108,Measurement Science and Technology
2109,Control and Cybernetics
2110,Microprocessors and Microsystems
2111,Geographical Analysis
2112,Linux Journal
2113,Leonardo
2114,bioinformatics and biomedicine
2115,The Journal of The Acoustical Society of Japan (e)
2116,IEEE Microwave and Wireless Components Letters
2117,"computer, information, and systems sciences, and engineering"
2118,World Wide Web Journal
2119,Poiesis & Praxis
2120,ACM Transactions on Computing Education \/ ACM Journal of Educational Resources in Computing
2121,International Journal of Communication
2122,Evolving Systems
2123,Electronic Colloquium on Computational Complexity
2124,robotics and applications
2125,Neural Computation
2126,Foundations and Trends in Communications and Information Theory
2127,International Journal of Intelligent Transportation Systems Research
2128,international symposium on object component service oriented real time distributed computing
